,url,input_titles,input_description,output
0,http://24bet-ind.com/easy-access-to-24-betting-american-login/index.html,game guide - 24 betting,No Description,None
1,http://4strokeswimming.co.uk/,4strokeswimming.co.uk,No Description,None
2,http://8xxx.net/category/ChangingRoom/,ChangingRoom,,None
3,http://agencia-mexico.com/details.php?gid=30360&pid=345989,ISABEL MADOW + POSADA - CLAQUETAZO CINTA LA PRIMA,"Isabel Madow, Mark Tacher, MarÃ­a Rojo, Julio Bracho y otros famosos posan durante el claquetazo con que iniciaron las filmaciones de la pelÃ­cula âLa Primaâ, una historia que tiene como guiÃ³n un texto del fallecido escritor Vicente LeÃ±ero. MÃ©xico D.F. 18 de Noviembre 2015.",None
4,http://alpha.2findlocal.com/sitemap_2_14067.html,Sitemap | 2FINDLOCAL.COM,Free Advertising on 2FINDLOCAL.COM,None
5,http://aspartesdotodo.blogspot.com/2013/02/1-universos-coexistentes.html,As Partes do Todo: 1 - UNIVERSOS COEXISTENTES,"As investigações nos últimos 100 anos das temáticas metafisicas da física quântica, tais como o comportamento das partículas, os hi...",None
6,http://atelierzumsee.blogspot.com/2019/02/und-was-darunter-ist.html,Atelier zum See: ... und was darunter ist,Kunst Schleswig Holstein Atelier Urban Sketching Buchbinden,None
7,http://axelmedellin.blogspot.com/2016/01/rachel.html,Axel Medellin: Rachel,"1598   De vuelta a Blade Runner...   Lo que quisiera que me explicaran un día, es, ¿por qué llaman ""preguntas"" a las de la prueba Voight-K...",None
8,http://bessin.mooo.com/page/xmpp-chat/tags/tags/post/interplanetary-filesystem-ipfs/post/das-drama-der-unfaehigen/tags/vom-frust-zur-freiheit-mein-weg-zum-linux-desktop/installation-i2p-bote-fuer-debian-basierende-linux-systeme/linux-und-windows-ein-vergleich/eddy_kotschinski/eddy_kotschinski/linchens-neue-sonnenbrille/studenten-witz/,Eddys Sammelsurium,Eddys Sammelsurium,None
9,http://blogdewellin.blogspirit.com/tag/lola+sion,lola sion - Le Blog de Wellin,Les nouvelles de l'entité de Wellin,None
10,http://blogdewellin.blogspirit.com/tag/vieille+photos,vieille photos - Le Blog de Wellin,Les nouvelles de l'entité de Wellin,None
11,http://boilerdo.blogspot.com/2013/03/arte-ou-pornografia.html,Boilerdo: Arte ou pornografia?,"Via DCM    Para o escritor cubano Fabio Hernandez, arte: para muita gente, nem tanto.     Agora então passemos, por um minuto ,  a uma disc...",None
12,http://boilerdo.blogspot.com/2013/04/falsa-campanha-de-leitura-da-editora.html,Boilerdo: Falsa campanha de leitura da Editora Abril,Ontem na porta da faculdade estavam de plantão alguns rapazes vendendo assinaturas de revistas da editora Abril.  A proposta era de assina...,None
13,http://buitengewooncoachen.com/events/buiten-coaching-telefonisch-verfrissend-simpel/,Telefonische coaching - Buiten wandelend - Verfrissend simpel. | BuitenGewoon Coachen,"1 januari 2021 - 28 februari 2021 @ 07:30 - 22:00 - Thuiswerken en loslaten. Hoe doe je dat? We gaan massaal naar buiten alleen, met de hond of onze vaste relaties. Dat helpt voor een frisse neus, beweging van je lijf en zorgt voor het broodnodige menselijk contact. Wil je echter ook gepieker doorbreken, je hart helemaal luchten, je gedachten onderzoeken en orderenen? Neem dan eens je coach mee op jouw blokje om. Telefonisch. Snel, simpel en effectief.",None
14,http://bungotv.co/2024/06/03/penetapan-dewan-terpilih-pileg-2024-kpu-tetapkan-40-anggota-dprd-terpilih-dari-16-parpol/,"Penetapan Dewan Terpilih Pileg 2024, Kpu Tetapkan 40 Anggota DPRD Terpilih Dari 16 Parpol - BERITA JAMBI TERKINI","Bungotv.co, Muaro Jambi – Komisi pemilihan umum Muaro Jambi menggelar rapat pleno terbuka , penghitungan dan...",None
15,http://cauciones.com/blog/2020/04/27/solicitud-representantes/,Nueva solicitud online: Representantes de Sociedades Extranjeras (IGJ),"Según la Res. IGJ 2/2020, los Representantes de Soc. Extranjeras inscriptas en Argentina, deben presentar una garantía. Contamos con solicitud 100% online.",None
16,http://ccfarners.blogspot.com/2013/01/blog-post_23.html,C.C.FARNERS,Perfil recorregut gran premi btt la selva santa coloma de farners  35 km  i  1300m de desnivell acomulat,None
